id	category	message	expected_action	risk_type	note
191	강한 긍정 표현	진짜 미친 장면 나왔다	PASS	intense_safe	감탄 표현
192	강한 긍정 표현	개쩌는 타이밍이었다	PASS	intense_safe	칭찬 표현
193	강한 긍정 표현	이건 칭찬 안 할 수가 없다	PASS	intense_safe	명시적 칭찬
194	강한 긍정 표현	와 완전 박살냈다	PASS	intense_safe	승리 강조
195	강한 긍정 표현	개시원하게 이겼다	PASS	intense_safe	긍정 표현
196	강한 긍정 표현	미쳤다 이런 전개는 처음 본다	PASS	intense_safe	감탄 표현
197	강한 긍정 표현	진짜 끝내준다	PASS	intense_safe	칭찬 표현
198	강한 긍정 표현	개맛있게 성공했다	PASS	intense_safe	성공 감탄
199	강한 긍정 표현	와 이건 인정할 수밖에 없다	PASS	intense_safe	인정 표현
200	강한 긍정 표현	진짜 역대급이다	PASS	intense_safe	최상급 칭찬
